sku,brand,catalog,family,series,category,category_slug,name,short_desc,measuring_principle,measuring_range,accuracy,process_temp,process_pressure,process_connection,wetted_parts,output_comm,key_features,approvals,datasheet_ti,image,source_pdf,status
FMX11,Endress+Hauser,Pressure,Waterpilot,FMX,Waterpilot Level Probes,press-waterpilot-level-probes,Waterpilot FMX11,Level in fresh water,"Hydrostatic, gauge",200 mbar to 2 bar (3 to 30 psi),+/-0.35 %,-10 to +70 C (+14 to +158 F),,"Suspension clamp, cable gland",Metallic,4-20 mA analog,Very compact level probe,,,FMX11.png,CP00022P_EN_2226,active
FMX21,Endress+Hauser,Pressure,Waterpilot,FMX,Waterpilot Level Probes,press-waterpilot-level-probes,Waterpilot FMX21,Level in fresh/waste/salt water,"Hydrostatic, gauge & absolute",100 mbar to 20 bar (1.5 to 300 psi),+/-0.1 %,-10 to +70 C (+14 to +158 F),,"Susp. clamp, cable gland; G1.5"" A or NPT1.5""",Ceramic,4-20 mA analog; 4-20 mA HART; opt. Pt100,Level probe,,,FMX21.png,CP00022P_EN_2226,active
FMB51,Endress+Hauser,Pressure,Deltapilot,FMB,Deltapilot Hydrostatic Level,press-deltapilot-hydrostatic-level,Deltapilot FMB51,Compact level measurement,"Hydrostatic, gauge",100 mbar to 10 bar (1.5 to 150 psi),+/-0.1 %,-10 to +85 C (+14 to +185 F),,"Thread ASME,ISO228 G; Flange ASME RF,EN1092-1,JIS RF",Contite metallic,4-20 mA HART; PROFIBUS PA; FOUNDATION fieldbus,"Modular, 1-chamber housing, dot-matrix display",,,FMB51.png,CP00022P_EN_2226,active
FMB52,Endress+Hauser,Pressure,Deltapilot,FMB,Deltapilot Hydrostatic Level,press-deltapilot-hydrostatic-level,Deltapilot FMB52,Compact level measurement,"Hydrostatic, gauge",100 mbar to 10 bar (1.5 to 150 psi),+/-0.1 %,PE cable -10 to +70 C; FEP cable -10 to +80 C,,"Thread ASME,ISO228 G; Flange ASME RF,EN1092-1,JIS RF",Contite metallic,4-20 mA HART; PROFIBUS PA; FOUNDATION fieldbus,"Modular, 1-chamber housing, dot-matrix display",,,FMB52.png,CP00022P_EN_2226,active
FMB53,Endress+Hauser,Pressure,Deltapilot,FMB,Deltapilot Hydrostatic Level,press-deltapilot-hydrostatic-level,Deltapilot FMB53,Compact level measurement,"Hydrostatic, gauge",100 mbar to 10 bar (1.5 to 150 psi),+/-0.1 %,PE cable -10 to +70 C; FEP cable -10 to +80 C,,Suspension clamp,Contite metallic,4-20 mA HART; PROFIBUS PA; FOUNDATION fieldbus,"Modular, 1-chamber housing, dot-matrix display",,,FMB53.png,CP00022P_EN_2226,active
PMP23,Endress+Hauser,Pressure,Cerabar,23,Cerabar Pressure Transmitters,press-cerabar-pressure-transmitters,Cerabar PMP23,Process pressure,Gauge / Absolute,400 mbar to 40 bar (6 to 600 psi),+/-0.3 %,-10 to +100 C; +135 C max 1h,,"Thread, flush-mounted hygiene; EHEDG, 3A",Metallic,4-20 mA analog; IO-Link,"Very compact, fully welded, display",,,PMP23.png,CP00022P_EN_2226,active
PTP33B,Endress+Hauser,Pressure,Ceraphant,33B,Pressure Switches (Ceraphant),press-pressure-switches-ceraphant,Ceraphant PTP33B,Process pressure; Pressure switch,Gauge / Absolute,400 mbar to 40 bar (6 to 600 psi),+/-0.3 %,-10 to +100 C; +135 C max 1h,,"Thread, flush-mounted hygiene; EHEDG, 3A",Metallic,1-2x switch output (PNP); PNP + 4-20 mA analog,"Very compact, fully welded, display",,,PTP33B.png,CP00022P_EN_2226,active
PMP43,Endress+Hauser,Pressure,Cerabar,43,Cerabar Pressure Transmitters,press-cerabar-pressure-transmitters,Cerabar PMP43,Process pressure,Gauge / Absolute,400 mbar to 40 bar (6 to 600 psi),+/-0.075 %,-40 to +200 C; +135 C max 1h,,"Thread, flush-mounted hygiene; EHEDG, 3A",Metallic,4-20 mA analog; 4-20 mA HART; IO-Link,Compact; optional color display and/or Bluetooth,,,PMP43.png,CP00022P_EN_2226,active
PMC51,Endress+Hauser,Pressure,Cerabar,51,Cerabar Pressure Transmitters,press-cerabar-pressure-transmitters,Cerabar PMC51,Process pressure; Level,Gauge / Absolute,100 mbar to 40 bar (1.5 to 600 psi),+/-0.075 %,-40 to +130 C; +150 C for 1h,,"Flush-mounted hygiene; EHEDG,3A,NSF,CoC-ASME BPE",Ceramic,4-20 mA analog; HART; PROFIBUS PA; FOUNDATION fieldbus,"Modular, 1-chamber housing, dot-matrix display",,,PMC51.png,CP00022P_EN_2226,active
PMC71,Endress+Hauser,Pressure,Cerabar,71,Cerabar Pressure Transmitters,press-cerabar-pressure-transmitters,Cerabar PMC71,Process pressure; Level,Gauge / Absolute,100 mbar to 40 bar (1.5 to 600 psi),+/-0.025 %,-20 to +150 C (-4 to +257 F),,"Flush-mounted hygiene; EHEDG, 3A",Ceramic,4-20 mA HART; PROFIBUS PA; FOUNDATION fieldbus,"Modular, 2-chamber housing, dot-matrix display",,,PMC71.png,CP00022P_EN_2226,active
PMP75,Endress+Hauser,Pressure,Cerabar,75,Cerabar Pressure Transmitters,press-cerabar-pressure-transmitters,Cerabar PMP75,Process pressure; Level,Gauge / Absolute,"400 mbar to 400 bar (6 to 6,000 psi)",+/-0.075 %,-70 to +400 C (-94 to +752 F),,"Flush-mounted hygiene; EHEDG, 3A","Metallic, diaphragm seal",4-20 mA HART; PROFIBUS PA; FOUNDATION fieldbus,"Modular, 2-chamber housing, dot-matrix display",,,PMP75.png,CP00022P_EN_2226,active
FMB50,Endress+Hauser,Pressure,Deltapilot,FMB,Deltapilot Hydrostatic Level,press-deltapilot-hydrostatic-level,Deltapilot FMB50,Process pressure; Level,"Hydrostatic, gauge",100 mbar to 10 bar (1.5 to 150 psi),+/-0.1 %,-10 to +100 C; +135 C for 30 min,,"Flush-mounted hygiene; EHEDG,3A,NSF,KTW,WHG,CoC-ASME BPE",Contite metallic,4-20 mA HART; PROFIBUS PA; FOUNDATION fieldbus,"Modular, 1-chamber housing, dot-matrix display",,,FMB50.png,CP00022P_EN_2226,active
FMB70,Endress+Hauser,Pressure,Deltapilot,FMB,Deltapilot Hydrostatic Level,press-deltapilot-hydrostatic-level,Deltapilot FMB70,Process pressure; Level,"Hydrostatic, gauge",100 mbar to 10 bar (1.5 to 150 psi),+/-0.075 %,-10 to +100 C; +135 C for 30 min,,"Flush-mounted hygiene; EHEDG,3A,CoC-ASME BPE",Contite metallic,4-20 mA HART; PROFIBUS PA; FOUNDATION fieldbus,"Fully modular, 2-chamber housing, dot-matrix display",,,FMB70.png,CP00022P_EN_2226,active
FMD78,Endress+Hauser,Pressure,Deltabar,78,Deltabar Differential Pressure,press-deltabar-differential-pressure,Deltabar FMD78,Differential pressure; Level,Differential pressure,100 mbar to 40 bar (1.5 to 600 psi),+/-0.075 %,-70 to +400 C (-94 to +752 F),,"Flush-mounted hygiene; EHEDG, 3A","Metallic, diaphragm seal",4-20 mA HART; PROFIBUS PA; FOUNDATION fieldbus,"Fully modular, 2-chamber housing, dot-matrix display",,,FMD78.png,CP00022P_EN_2226,active
FMR10B,Endress+Hauser,Level,Micropilot,,Radar Level (Micropilot),level-radar-level-micropilot,Micropilot FMR10B,"Basic process level, IIoT-ready",Radar (non-contact),10 m / 33 ft,"±5 mm / 0.2""",-40 to +60 °C,-1 to +3 bar / -14.5 to +43.5 psi,"G 1"", NPT 1"", G 1½"", NPT 1½""",PVDF,2-wire (HART/PA/Ethernet-APL),"Compact, Bluetooth, LED indicator",,TI01805F,FMR10B.png,CP00023F_EN_2126,active
FMR20B / FMR30B,Endress+Hauser,Level,Micropilot,,Radar Level (Micropilot),level-radar-level-micropilot,Micropilot FMR20B / FMR30B,Standard process level,Radar (non-contact),30 m / 98 ft,"±2 mm / 0.08""",-40 to +80 °C,-1 to +3 bar / -14.5 to +43.5 psi,"G/NPT 1"" & 1½"", DN50–DN150 / 2–6""",PVDF,2-wire HART,"Bluetooth, LED indicator / color display",,TI01796F / TI01806F,FMR20B-FMR30B.png,CP00023F_EN_2126,active
FMR43,Endress+Hauser,Level,Micropilot,,Radar Level (Micropilot),level-radar-level-micropilot,Micropilot FMR43,Compact & hygienic process level,Radar (non-contact),15 m / 49 ft,"±1 mm / 0.04""",-40 to +150 °C,-1 to +20 bar / -14.5 to +290 psi,"M24, G/MNPT ¾/1/1½, Clamp 1½–2"", NEUMO BioControl D50","PEEK, PTFE, 316L",2-wire HART / IO-Link,"Heartbeat, Bluetooth, color display",,TI01728F / TI01729F,FMR43.png,CP00023F_EN_2126,active
FMR51,Endress+Hauser,Level,Micropilot,,Radar Level (Micropilot),level-radar-level-micropilot,Micropilot FMR51,"High-temp/high-pressure, horn antenna",Radar (non-contact),40 m / 131 ft,"±2 mm / 0.08""",-196 to +450 °C,-1 to +160 bar / -14.5 to +2320 psi,"R1½"", NPT1½"", DN50–150, Tri-Clamp 2–3""","316L/1.4435, Alloy C, PTFE, sealings",HART / PROFIBUS PA / FF,Gastight feedthrough optional,,TI01040F,FMR51.png,CP00023F_EN_2126,active
FMR52,Endress+Hauser,Level,Micropilot,,Radar Level (Micropilot),level-radar-level-micropilot,Micropilot FMR52,"Fully PTFE-cladded, aggressive/hygienic",Radar (non-contact),40 m / 131 ft,"±2 mm / 0.08""",-196 to +200 °C,-1 to +25 bar / -14.5 to +363 psi,"DN50–150, Tri-Clamp 2–4"", hygienic",PTFE-cladded,HART / PA / FF,"Corrosion resistant, gastight optional",,TI01040F,FMR52.png,CP00023F_EN_2126,active
FMR54,Endress+Hauser,Level,Micropilot,,Radar Level (Micropilot),level-radar-level-micropilot,Micropilot FMR54,"Bypass/stilling well, high temp/press",Radar (non-contact),20 m / 65 ft,"±6 mm / 0.24""",-196 to +400 °C,-1 to +160 bar / -14.5 to +2320 psi,"DN80–DN250 / 3–10""","316L/1.4435, Alloy C, PTFE, ceramics, graphite",HART / PA / FF,Gastight feedthrough standard,,TI01041F,FMR54.png,CP00023F_EN_2126,active
FMR60B,Endress+Hauser,Level,Micropilot,,Radar Level (Micropilot),level-radar-level-micropilot,Micropilot FMR60B,High-accuracy process level & interface,Radar (non-contact),50 m / 164 ft,"±1 mm / 0.04""",-40 to +200 °C,-1 to +20 bar / -14.5 to +290 psi,"G/NPT ¾ & 1½, UNI flange 3–6""","PVDF, PTFE or PEEK, sealings",2-wire HART/PA/APL,"Bluetooth, Heartbeat, small connections",,TI01683F,FMR60B.png,CP00023F_EN_2126,active
FMR62B,Endress+Hauser,Level,Micropilot,,Radar Level (Micropilot),level-radar-level-micropilot,Micropilot FMR62B,"High press/temp, long range",Radar (non-contact),80 m / 262 ft,"±1 mm / 0.04""",-196 to +450 °C,-1 to +160 bar / -14.5 to +2321 psi,"G/MNPT ¾, 1½, DN50–DN150 / 2–6""","PTFE, 316L, sealings",2-wire HART/PA/APL,"Bluetooth, Heartbeat, gastight optional",,TI01684F,FMR62B.png,CP00023F_EN_2126,active
FMR63B,Endress+Hauser,Level,Micropilot,,Radar Level (Micropilot),level-radar-level-micropilot,Micropilot FMR63B,"Hygienic flush-mount, long range",Radar (non-contact),80 m / 262 ft,"±1 mm / 0.04""",-40 to +200 °C,-1 to +25 bar / -14.5 to +363 psi,"Tri-Clamp, DIN 11851, NEUMO, M24","PTFE, PEEK, sealings",2-wire HART/PA/APL,"Hygienic, Bluetooth, Heartbeat",,TI01685F,FMR63B.png,CP00023F_EN_2126,active
NMR81,Endress+Hauser,Level,Micropilot,,Radar Level (Micropilot),level-radar-level-micropilot,Micropilot NMR81,High-accuracy custody transfer (free space),Radar – Tank Gauging,70 m / 230 ft,"±0.5 mm / 0.02""",-40 to +200 °C,Vacuum to +16 bar / +232 psi,"DN80–DN250 / 3–10""","316L, PTFE",Modbus/HART (tank gauging),"Custody transfer, gastight standard",,TI01252G,NMR81.png,CP00023F_EN_2126,active
NMR84,Endress+Hauser,Level,Micropilot,,Radar Level (Micropilot),level-radar-level-micropilot,Micropilot NMR84,"Custody transfer, stilling well",Radar – Tank Gauging,40 m / 131 ft,"±0.5 mm / 0.02""",-40 to +150 °C,Vacuum to +25 bar / +362 psi,"DN100–DN300 / 4–12""","316L, PTFE",Modbus/HART (tank gauging),"Custody transfer, gastight standard",,TI01253G,NMR84.png,CP00023F_EN_2126,active
FMP50,Endress+Hauser,Level,Levelflex,,Guided Radar (Levelflex),level-guided-radar-levelflex,Levelflex FMP50,Compact guided level & interface,Guided radar (TDR),4 m rod / 12 m rope,±2 mm (<15 m),-20 to +80 °C,-1 to +6 bar / -14.5 to +87 psi,"G/NPT ¾""","Rope/rod 316L, PPS",HART,Compact,,TI01000F,FMP50.png,CP00023F_EN_2126,active
FMP51,Endress+Hauser,Level,Levelflex,,Guided Radar (Levelflex),level-guided-radar-levelflex,Levelflex FMP51,Standard guided level & interface,Guided radar (TDR),10 m rod / 45 m rope / 20 m coax,±2 mm / ±10 mm,-40 to +200 °C,-1 to +40 bar / -14.5 to +580 psi,G/NPT ¾ & 1½,"Rope/rod/coax 316L, Alloy C, ceramics",HART / PA / FF,Gastight optional,,TI01001F,FMP51.png,CP00023F_EN_2126,active
FMP52,Endress+Hauser,Level,Levelflex,,Guided Radar (Levelflex),level-guided-radar-levelflex,Levelflex FMP52,"Aggressive media, fully PTFE/PFA",Guided radar (TDR),4 m rod / 45 m rope,±2 mm / ±10 mm,-50 to +200 °C,-1 to +40 bar / -14.5 to +580 psi,"Tri-Clamp 1½–3, DIN 11851, NEUMO, DN40–150","PTFE, PFA",HART / PA / FF,Hygienic / aggressive media,,TI01001F,FMP52.png,CP00023F_EN_2126,active
FMP53,Endress+Hauser,Level,Levelflex,,Guided Radar (Levelflex),level-guided-radar-levelflex,Levelflex FMP53,Hygienic guided level,Guided radar (TDR),6 m,±2 mm,-20 to +150 °C,-1 to +16 bar / -14.5 to +232 psi,"Tri-Clamp, DIN 11851","316L, PEEK",HART / PA / FF,Hygienic,,TI01002F,FMP53.png,CP00023F_EN_2126,active
FMP54,Endress+Hauser,Level,Levelflex,,Guided Radar (Levelflex),level-guided-radar-levelflex,Levelflex FMP54,High press/temp guided level,Guided radar (TDR),10 m rod / 45 m rope / 20 m coax,±2 mm / ±10 mm,-196 to +450 °C,-1 to +400 bar / -14.5 to +5800 psi,"G/NPT 1½, DN50–DN100","Rope/rod/coax 316L, ceramics, graphite, Alloy C",HART / PA / FF,Gastight standard,,TI01001F,FMP54.png,CP00023F_EN_2126,active
FMP55 (Multicap),Endress+Hauser,Level,Levelflex,,Guided Radar (Levelflex),level-guided-radar-levelflex,Levelflex FMP55 (Multicap),Build-up / adhesive media (rope+rod coax),Guided radar (TDR),4 m rod / 10 m rope / 20 m coax,±2 mm (<10 m),-50 to +200 °C,-1 to +40 bar / -14.5 to +580 psi,DN50–DN150,"PTFE, PFA",HART / PA / FF,"Self-cleaning for build-up, gastight standard",,TI01003F,FMP55.png,CP00023F_EN_2126,active
FMU30,Endress+Hauser,Level,Prosonic,,Ultrasonic (Prosonic),level-ultrasonic-prosonic,Prosonic FMU30,Compact ultrasonic level,Ultrasonic,"5 m (1½"") / 8 m (2"")",±3 mm / 0.12% or 0.2%,-20 to +60 °C,+0.7 to +3 bar / +43.5 psi,"G/NPT 1½ or 2""",PP / EPDM,4–20 mA HART,Compact,,TI00440F,FMU30.png,CP00023F_EN_2126,active
FMU40 / FMU41,Endress+Hauser,Level,Prosonic,,Ultrasonic (Prosonic),level-ultrasonic-prosonic,Prosonic FMU40 / FMU41,Compact ultrasonic level,Ultrasonic,FMU40 5 m / FMU41 8 m,±2 mm / 0.08% or 0.2%,-40 to +80 °C,+0.7 to +3 bar / +43.5 psi,"G/NPT 1½ or 2""",PVDF / EPDM,4–20 mA HART,Compact,,TI01456F / TI01457F,FMU40-FMU41.png,CP00023F_EN_2126,active
FMU42 / FMU44,Endress+Hauser,Level,Prosonic M,,Ultrasonic (Prosonic),level-ultrasonic-prosonic,Prosonic M FMU42 / FMU44,"Ultrasonic, larger tanks",Ultrasonic,FMU42 10 m / FMU44 20 m,±4 mm / 0.16% or 0.2%,-40 to +80 °C,+0.7 to +2.5 bar / +36 psi,"DN80/100/150/200, ANSI, JIS",PVDF / EPDM / Viton,HART / PROFIBUS (2 or 4-wire),Transmitter + FDU sensor,,TI01458F / TI01460F,FMU42-FMU44.png,CP00023F_EN_2126,active
FMU90/95 + FDU90,Endress+Hauser,Level,Prosonic S,,Ultrasonic (Prosonic),level-ultrasonic-prosonic,Prosonic S FMU90/95 + FDU90,High-end multi-sensor transmitter,Ultrasonic,3 m / 9.6 ft,±2 mm / 0.08% or 0.17%,-40 to +80 °C,+0.7 to +4 bar / +58 psi,Rear/front thread G/NPT,PVDF,"1/3/6 relays, HART / PROFIBUS DP","Up to 10 sensors, point-level, alarms",,TI00397F/398F / TI01469F,FMU90-95+FDU90.png,CP00023F_EN_2126,active
FMU90/95 + FDU91,Endress+Hauser,Level,Prosonic S,,Ultrasonic (Prosonic),level-ultrasonic-prosonic,Prosonic S FMU90/95 + FDU91,High-end transmitter + sensor,Ultrasonic,10 m / 32 ft,±2 mm / 0.08% or 0.17%,-40 to +80 °C,+0.7 to +4 bar / +58 psi,"G/NPT 1"" (accessory flange FAX50)",PVDF,HART / PROFIBUS DP,Multi-sensor system,,TI00397F/398F / TI01470F,FMU90-95+FDU91.png,CP00023F_EN_2126,active
FMU90/95 + FDU91F,Endress+Hauser,Level,Prosonic S,,Ultrasonic (Prosonic),level-ultrasonic-prosonic,Prosonic S FMU90/95 + FDU91F,High-temp sensor variant,Ultrasonic,10 m / 32 ft,±2 mm / 0.08% or 0.17%,-40 to +105 °C,+0.7 to +4 bar / +58 psi,"G/NPT 1"", Tri-Clamp DN80",316L,HART / PROFIBUS DP,High temperature,,TI00397F/398F / TI01471F,FMU90-95+FDU91F.png,CP00023F_EN_2126,active
FMU90/95 + FDU92,Endress+Hauser,Level,Prosonic S,,Ultrasonic (Prosonic),level-ultrasonic-prosonic,Prosonic S FMU90/95 + FDU92,Long range sensor variant,Ultrasonic,20 m / 65 ft,±2 mm / 0.08% or 0.2%,-40 to +95 °C,+0.7 to +4 bar / +58 psi,"G/NPT 1"" (accessory flange FAX50)",PVDF,HART / PROFIBUS DP,Long range,,TI00397F/398F / TI01472F,FMU90-95+FDU92.png,CP00023F_EN_2126,active
